"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191"
"1",0,85508768,172483050,156973404,456419398,294855363,5748314,459976,1781584984,110553480,88810847,142230157,491303371,1673219768,30861117,0,452099855,119780755,101855955,659239565,5472017,4873701144,417729525,0,5236107,254285822,253858468,43925083,830637595,30041676,70303899,18467996,0,258481988,433440684,401044175,163803137,0,9134354,4851546467,207889,0,42129422,0,74173509,0,0,0,0,3824547,0,171071686,396859,9304940,677547,24611777,10940251,2993996,921762,27453723,54332409,2042085,4384004,2119533,0,10892071,1649504,20685705,1031566,0,296168680,2639246,0,17984498,276700,5791663,0,0,0,0,0,8428815,244985,372371,0,12018588,26016110,2270793,5851915,0,172973,116198344,12407060,0,5667775,0,0,5133934,0,0,1040651,15762848,91100928,238773,0,0,78697974,0,0,0,0,0,0,0,0,0,0,0,11424039,0,0,244569,984995,0,310012,0,0,0,0,0,0,245543,278852,0,2385385,0,0,0,112459197,0,599531,0,0,0,0,1182047,1170295,0,0,0,1392801,0,0,0,210904,39444144,0,778413,191369,44326386,159993,0,1385389,0,0,0,568599,0,1644291,878054,3918913,0,0,7452141,928732,1183515,0,0,2105612,0,0,0,0,0,0,0,0,0,0,0,0
"2",26151228,0,652680311,156655638,75625018,1268203851,15858455,4033322,11922768706,182185500,215083674,171076863,1077573094,630158715,97756232,0,137342070,44889703,87568899,2407763872,216156,1124301618,112738194,230055166,5291675,40899910,764421237,118343883,17834425,9832767,18487523,120139779,0,47498838,34300694,450603376,31369519,11730368,115685317,825511452,25469857,0,49698599,0,11350578,319163,0,5913318,101562119,7213710,38543971,22853675,11774412,175698,15881270,10110446,0,59427878,23406953,0,49243456,15485545,6281473,9436952,0,617454,25736303,3164888,0,506245,53560057,26725060,290412,397359695,1805038,142810934,0,387424,0,0,11883374,405851557,1541898,302580,0,5909329,7028574,737599,743519,16806216,13949251,1314603,258633393,3829729,64679803,0,17766614,736953949,3581414,6362389,923781,238012916,84483483,2859582,532168,4857898,707901,0,172076,692730,0,312315,0,0,3458223,0,0,0,0,0,0,0,2396745,446548,1129058,0,2823145,0,0,171568,0,653675,4034408,0,36677098,0,0,0,170419,662202,691977,0,1324827,0,0,2544661,160810,0,326056,0,0,0,95454406,0,415101,0,0,246181,0,0,227039,604157,0,0,0,0,0,0,0,1748598,1035167,0,0,1724361,0,0,0,0,0,0,0,0,0,0,0,205243,0,0,0,0,0
"3",175655066,526088440,0,335049009,390155259,1399425424,57268370,11423642,14796379351,345813129,709112050,258203918,10084738435,5276009060,153969016,1158427,178144052,241644443,365208027,2651622638,10832657,1730280707,132509127,165185589,121787276,94550168,11423926788,275350109,79882142,34396032,23841474,238714612,2309224,677296041,65076744,1318119177,86242055,95550459,157459924,3118364269,77984501,0,89816306,0,26418591,0,0,7241924,52529788,9463838,50049750,73948303,7459885,505148,59378190,211019469,0,62193506,8869011,0,363652156,76381285,13564754,5983767,7987133,33636838,19385543,11735798,5727850,40494548,190372101,124699539,51302647,67349605,2882494,163215600,0,26753530,1723435,498948,11614777,51431583,10826608,2165308,0,39846911,3777670,12398353,5521452,12842328,17879336,7390705,108800213,15624947,44198333,9446121,3587631,949016201,16654016,10512465,19487474,76694392,329905313,4823228,61415435,3191659,7901183,0,15231909,2584670,655597,670809,0,0,566525813,0,0,0,0,0,0,0,4806233,5134219,28027333,947496,14393655,5023006,886133,157274,0,1655366,10418316,0,169685506,68384217,0,0,34221613,0,5304589,85877585,5251241,0,8965172,8087444,2444227,0,40641853,0,330267,0,337556071,0,1090675,0,0,0,0,3582001,5993027,3435760,873574,43394802,0,1133947,0,0,0,3698881,5700805,0,0,4179783,0,0,205341,3061175,55068301,0,0,0,0,0,520528,2399017,343006,0,0,0,0
"4",110160214,45344314,116001164,0,715717164,277299509,272494932,0,1195020955,44672804,92340885,70270131,659837421,368519660,400378,0,29816589,7354420,52281894,364802944,11977889,969618628,22620653,1983823,24762451,54771167,228876721,89132429,34845173,41077492,3236665,93998571,0,968952625,26634330,138651117,61753928,823478,4547807,3158498610,293641,0,166731495,0,526692,0,0,12926151,98175111,18730002,294789,17162004,0,0,97049150,712862753,0,6966823,3245688,0,57715567,74625564,229635,271815538,25716146,23781239,12806772,0,3562181,1880185,373106642,2724974,594362,35750977,3115197,87953309,0,0,0,0,0,25047492,1255843,0,0,197915,0,0,0,0,1744493,0,179970616,139954949,48594222,0,0,59158882,1156997,0,1778992,2847194,56992309,0,113818981,0,0,0,0,0,0,0,403291,0,12552961,0,0,0,0,0,0,0,0,20810571,0,0,0,0,0,0,0,170597,0,0,75411626,1032152630,0,0,0,0,0,957789,0,0,0,304186,4918622,0,0,0,0,0,365650737,0,1191877,0,409711,0,0,0,0,391935,0,0,0,25846984,0,0,0,0,0,0,0,0,0,0,0,0,3638057,0,0,0,0,0,0,0,0,0,0,0,0
"5",338916827,132996862,396161196,569982926,0,409164161,82837451,322650,2264417372,150965680,287780939,168331379,1039298332,2453160931,46791199,2062034,692964728,119627350,170771311,1116858799,1063703,5022122603,1150780964,14787564,12272043,106523267,459012569,117600432,115762209,93812385,71074422,52566261,0,122082273,149882618,515748075,102364498,6057470,39071283,51704391308,193985,775441,780820570,0,4421773,13808509,3465482,6216567,7385353,59825223,3295496,73795140,26244095,2825056,341603612,54377986,0,80719296,36681446,3118508,89227073,42720535,13512728,9589589,10492841,12017921,6018454,2333934,19280000,0,366740983,10238603,0,40699053,46995263,17224031,0,23347393,0,0,13377592,27142246,7711668,95734000,0,23196188,0,8764763,1005690,22227668,18082756,359252,43925741,4708166,36307301,0,41840184,13544659,0,1995323,34656993,29351265,229034551,0,643891,0,1341412,0,0,0,0,776572,17513583,0,22105772,0,10776318,0,0,0,0,0,1391772,3647081,0,0,9643084,0,0,0,0,17522755,7976132,0,154080625,520613,0,0,186180,0,677176,810654,5011202,0,0,2201653,998311,0,0,0,532541,0,240985608,0,525365,0,0,392695,0,376844,0,0,0,5217384,0,1056459,19200831,0,0,1968892,1532739,0,0,4310414,0,0,0,480003,0,0,0,0,0,250205,0,0,0,0,0,12146677,0
"6",135696889,1582307719,1546723915,158656222,135434343,0,10692681,4922151,14026387051,394322000,513836290,254837539,5330028735,2953109493,70314930,156770,434558794,104738184,218737068,4177637243,200436,1893043974,156169855,210507456,12656463,30851957,1697423136,156942165,18475850,26806069,24170470,158269634,1017035,96210007,68826626,716492055,112025991,16954848,129588134,2282264402,10677665,0,28941276,0,9781107,407334,0,357516,85199798,10049814,13577341,32409105,27976069,163521,4603071,42044122,11700580,73375983,31976026,0,125646559,17509964,20548730,14859391,617331,1641293,11705218,4670551,6443167,610916,93437447,28381083,2439181,83771012,7208279,66349248,0,1631504,332696,980725,22018152,138870070,32943061,393679,0,7587528,7578518,2621168,1805658,15271795,81912232,1117686,51605689,6082827,19629116,1291843,4151802,365446191,3272666,9367770,733054,85068416,77979708,6865162,2801473,1791863,3537177,0,0,1066818,180139,0,1482637,0,4993893,0,0,0,0,0,606390,0,3746115,860465,15132544,1132024,0,4686172,0,251200,346073,0,1405178,0,43436645,562312,0,215455,606891,0,47326316,5486754,1471215,260248,742274,1580853,1606267,0,0,0,0,0,75222355,0,3027499,0,0,0,0,191403,0,865270,247863,0,0,0,0,0,0,824576,311583,0,0,2769042,0,311896,0,0,5380846,0,0,664542,0,0,0,791620,0,0,0,0,0
"7",19986493,13218581,47443206,248305619,64394793,53603399,0,0,240915753,12099274,85261590,31954788,92758701,102682012,207854,0,51575807,1625078,3293847,64597123,0,292930200,64628857,0,0,10640804,30527511,11760875,3681023,185193,6052319,3200524,0,1399066,5233654,46134537,9353187,0,863026,605258139,0,0,26485963,0,1526133,0,0,4540629,173186,53166481,30825939,1038026,0,0,134371480,111536247,0,34389671,0,0,9182491,51263624,232096,5591006,37586162,173361,0,0,0,0,18871834,0,0,1514393,0,2402185,0,0,0,0,0,315137,0,0,0,3238853,0,0,0,0,3812334,0,973199,26569349,1962734,0,0,462784,0,0,0,539309,31175219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44871898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",930441,11498454,24954120,10309268,7149127,17615150,0,0,117878366,11566441,46496102,39019120,84294433,156138933,91814273,0,11047270,1590111,7059360,138124916,0,108785918,16581658,1199814,176725,1145132,45106955,12197059,1856913,2549765,740797,8609267,0,3417722,17245559,21048502,1909646,178557,73016917,49858334,0,0,12491587,0,0,0,0,0,12765776,0,8266404,2946431,332376,0,0,6170730,0,0,0,0,10138983,0,0,0,0,0,4157838,0,0,0,5035590,1509468,0,6490932,0,3744220,0,0,0,0,0,6890917,0,0,0,0,0,0,290783,0,0,0,1824778,0,9009419,0,0,28280839,13658887,0,0,6423183,592143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951612,608809,333907,0,0,0,0,0,0,0,0,0,705307,38803109,0,0,0,0,5310762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",800533944,6700471880,13011128457,1794235628,1291392346,7471313994,408696430,26291812,0,3221006918,3075769550,1617735354,19744868852,12098647647,1366413750,16243181,1623182215,572008757,1314138953,16072242893,10453528,10051224654,1317055959,888054314,242978862,597116606,20209711466,3691007748,169056986,200397781,462470151,1088228027,2555666,763894358,595199840,4086622361,566543725,268881846,1291748468,10771155066,174724790,865893,305326242,13829239,113842263,1068880,0,11320593,789486416,106869761,170848769,353169055,61632800,305466,612994723,567323195,692246,901499956,115054271,2324694,402438739,174115061,180920070,78538780,3339288,29503206,143739823,23411464,9212084,10538846,1045421217,354797478,14642080,916016278,16398629,0,0,11662138,30084136,3376801,55456455,858910824,100761639,7550590,0,91622149,138540505,51229070,33769810,33987075,99097117,317976567,1071238074,21413880,690086626,6250930,129068990,2069168432,88679110,18611005,13544004,1984185118,1089160957,27611948,10473292,18545881,29612199,0,70995783,35071211,2409518,208516,785888,0,199361881,395797,1325267,0,0,0,0,0,110167956,14080833,93753779,405012,59433400,518822,0,9394364,234497,15966870,12167374,0,458126087,77070611,0,389776,148396499,234499,5374728,192359217,23203909,604774,7957309,135216238,10930261,2092396,11155166,645515,20610059,5897838,1141444560,0,21623947,0,0,63716920,303332,1177466,86982729,25824376,2479901,31904595,892017,34544004,0,0,0,99608806,31549607,0,0,7509080,7602291,1117714,1214357,525759,9792595,0,0,680320,0,2318312,2196573,9440531,1961299,0,0,0,0
"10",96124375,255559161,763476818,168633478,82360233,448885454,4403932,3035242,4922417199,0,227851965,633724553,1044901024,1528989971,54160318,196746505,119322238,44205883,100642451,875141636,0,1163669322,107810862,0,15480119,37247788,1076286029,762772633,20643126,23839192,15893875,178160454,0,21244348,44249067,2572308476,43548212,1901486,34430891,994023560,6057740,0,14127241,0,9403997,355773,0,1511171,12485084,2183043,10058793,33402424,5222089,0,1891238,95251801,0,51302942,5117281,832576,31195806,7723801,6127625,1958437,0,1083710,4878584,0,829210,0,174417348,9758875,2338894,65442031,1160777,167133051,0,647155,88013178,0,1882128,41053503,40837408,354111,0,11545915,11641067,5003997,2505784,2713629,5433863,1240828,105364226,2896475,28752067,992652,521748,164164191,796987,1377685,12755499,60473142,9521177,1321625,992574,0,3581346,0,161089,1768548,1267508,0,0,0,2372960,305925,0,0,0,0,0,0,1952435,479976,1147113,0,0,0,0,0,0,0,1857144,0,7587302,924326,0,0,231185229,0,1580526,3435410,1006194,0,200744,5091090,7472934,775739,215998,214718,0,0,15479554,0,0,0,0,306522,0,0,717023,2981061,375916,0,0,0,0,0,0,8490414,4303887,0,0,409593,0,661445,0,0,0,0,0,0,0,223177,0,407080,0,0,0,0,0
