"Year"	"Experiment"	"Geom_mean"	"Synthetic_exporter"	"Synthetic_importer"	"Empirical_exporter_filtered"	"Empirical_importer_filtered"	"Empirical_exporter_unfiltered"	"Empirical_importer_unfiltered"
1962	1	0.0259634878790427	0.0166982736359987	0.0403696045195921	0.523809735313778	0.420981295731239	0.000221168281051827	0.000151654336620627
1963	1	0.00305908284100281	0.00967050883113112	0.000967683085919195	0.0419367610531291	0.498633104156146	7.4370711722406e-07	0.000632616909244262
1964	1	0.00316810909816927	0.0446187333859406	0.000224948457659839	0.452894767799617	0.287767135493042	0.00771434496023418	0.00205775435522627
1965	1	0.00244971380933115	0.000550733952097531	0.0108965458272037	0.586016978725731	0.290414870338765	0.00761558372540863	0.00214888219185537
1966	1	0.0776387974265432	0.26346805078502	0.0228786103206049	0.539860936596128	0.7528980175774	0.0321442158481352	0.00206045312710211
1967	1	0.0478103715932108	0.0188619101354294	0.121187706625072	0.577181664512481	0.368115095209883	0.0227208807371904	0.000143967452748327
1968	1	0.0241224202509636	0.0123053998285264	0.0472874645986846	0.702179203277034	0.726652835269969	0.733962801798224	0.238693945818534
1969	1	0.00980665465466885	0.000518791170738271	0.185374156192909	0.385254316035851	0.708443116318183	0.00195360131536091	0.00108878959735919
1970	1	0.110870569666694	0.0826013021058111	0.148814642201051	0.479317268783493	0.643395809507742	0.506109636622581	0.749809371059292
1971	1	0.0249325925881486	0.000684774474317569	0.907794020485514	0.696253669173315	0.727047630012172	0.563521086704667	0.831910787661098
1972	1	0.0740412363557004	0.0694357271399356	0.0789522182151627	0.264465079324227	0.532534324400566	0.193532764361434	0.4339477495336
1973	1	0.0845427496438657	0.0265569045579623	0.269138163363335	0.794643996713981	0.514073950860391	0.68505018308561	0.542045999811605
1974	1	0.0269602649291681	0.0357490266829877	0.0203321867052909	0.768434339878685	0.986938638819639	0.703827693190915	0.955569649882701
1975	1	0.0498187715788931	0.0667157112639882	0.0372012821958719	0.664115816496615	0.76281209766376	0.880786642948384	0.750764899556292
1976	1	0.0901108894639549	0.162698285653313	0.0499081620152262	0.66641442927251	0.530041126615125	0.616456749744665	0.542461796734722
1977	1	0.000376964304615241	0.0420288379922555	3.38106152209674e-06	0.466457936726441	0.511361647338299	0.508997064854075	0.499829519477737
1978	1	0.0338633893626563	0.00469266597629255	0.244366239770775	0.383083607248578	0.306449487202424	0.505788900748787	0.489448984433229
1979	1	0.00260623580659785	0.142728761858219	4.7590023140116e-05	0.332450662441665	0.367276486756166	0.39510896720076	0.261483120183879
1980	1	0.00121585422696938	0.000681813814096275	0.00216818942455538	0.280360009362671	0.580628054933196	0.254947863459524	0.445881203351974
