8297	8921	788	1516	1781	6672	2594	2216	469	851	19	1202	3406	407	337	1664	582	684	41	60	104	367	23	214	52	196	91	59	50	135	118	21	146	111	44	385	228	32	38	1	24	72	276	123	60	11	50	171	181	61	31	35	21	58	25	28	33	64	0	77	123	55	43	21	8	1	9	40	3	18	101	38	8	10	7	16	29	5	53	40	40	89	40	39	47	6	20	42	1	73	11	35	18	20	17	18	19	37	19	26	0	4	17	14	15	8	0	3	23	23	34	14	9	16	3	0	44	47	34	32	16	46	6	9	5	16	13	3	3	3	1	6	12	22	22	4	2	10	16	4	4	16	3	0	17	1	1
4840	5235	482	921	1008	3897	1533	1319	283	501	11	759	1999	214	202	967	370	429	30	41	68	202	18	119	35	100	68	33	30	70	80	9	76	59	37	231	153	16	18	0	20	62	148	69	27	5	46	95	113	25	18	16	15	32	38	10	22	51	0	45	59	41	15	10	1	3	6	30	6	4	54	27	5	9	8	13	16	4	25	21	22	66	29	27	23	3	17	28	2	27	11	23	8	10	15	11	9	25	16	13	2	0	11	7	10	6	0	0	9	7	7	5	7	11	2	1	24	17	22	25	13	26	7	3	2	6	9	0	0	1	0	6	5	8	4	6	4	5	12	8	2	10	1	1	13	0	1
174	167	14	27	31	155	71	42	8	20	1	17	80	8	7	41	15	17	0	3	4	5	0	7	1	6	2	1	3	4	5	0	7	1	2	6	1	0	0	0	1	1	5	6	1	0	2	2	3	1	0	0	2	1	2	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	2	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0
13267	14077	1176	2455	2816	10554	4017	3440	781	1381	35	1981	5426	621	565	2559	967	1203	86	103	163	583	44	352	85	295	148	63	95	216	198	32	237	168	75	555	384	43	70	6	34	144	441	173	98	26	113	281	301	100	49	43	29	82	72	36	72	102	1	126	205	89	46	24	16	6	26	58	9	29	158	67	12	24	16	32	46	14	65	67	54	150	67	82	70	10	32	74	8	75	37	47	21	26	18	45	27	55	17	39	1	1	31	19	28	14	0	4	17	21	35	16	15	30	6	1	75	65	53	66	34	76	19	4	9	21	29	9	3	4	1	13	27	31	15	8	12	8	33	13	4	17	5	4	19	0	2
1987	2059	188	317	440	1530	619	516	119	213	5	293	804	97	77	400	153	165	10	12	20	83	2	43	14	41	26	13	15	31	33	10	32	22	16	91	55	7	9	0	6	23	64	32	20	0	19	38	46	18	7	9	7	12	13	7	12	18	0	17	30	10	6	2	0	1	1	15	3	3	17	10	0	1	5	3	6	2	7	10	8	27	11	11	8	2	7	9	0	16	1	7	3	2	3	7	2	4	4	5	0	2	7	2	1	4	0	0	1	6	5	5	5	3	0	0	8	11	7	11	2	12	2	2	1	1	4	0	1	2	1	2	3	4	3	2	2	2	4	4	0	3	1	0	1	2	0
4772	4970	458	885	992	3677	1486	1260	244	520	6	669	1900	221	204	928	344	397	28	35	55	208	12	124	23	104	58	26	33	73	73	4	75	66	27	196	155	12	21	3	11	44	162	65	30	6	34	108	106	44	21	28	16	20	27	10	24	34	1	33	81	33	10	10	4	3	10	26	1	9	52	28	2	2	11	12	13	4	21	27	27	52	31	20	19	6	11	33	7	32	10	21	9	16	5	14	11	20	6	16	0	1	11	3	9	3	0	3	9	6	11	7	7	7	3	0	34	38	19	24	8	32	5	2	3	9	10	0	0	1	1	1	13	9	5	1	4	2	19	7	3	7	2	0	8	0	1
93	109	5	16	16	78	32	24	4	12	0	7	39	4	5	23	7	5	1	1	0	2	0	2	0	3	1	0	0	0	0	0	1	3	0	4	4	0	0	0	0	1	3	1	0	1	1	1	4	2	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	3	1	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
742	802	56	113	136	561	218	196	39	68	0	90	286	42	28	115	46	56	6	1	5	26	7	13	3	19	5	3	7	13	7	2	11	10	2	24	19	3	3	0	1	9	30	11	2	0	4	13	15	3	2	4	0	6	5	1	1	3	0	9	9	4	3	1	0	0	0	0	1	3	5	4	0	0	2	1	1	0	3	1	4	13	2	4	2	0	0	7	0	5	0	2	1	1	1	0	0	5	4	2	0	0	0	2	0	1	0	0	0	2	1	0	0	2	0	0	2	4	4	9	2	2	2	0	0	1	3	0	0	0	0	1	1	0	1	1	0	1	4	0	0	0	0	0	1	0	0
131	128	9	18	34	110	35	41	7	11	0	11	31	11	9	19	11	10	0	1	1	10	1	2	0	5	1	0	3	0	2	0	2	2	0	9	7	0	1	0	0	1	6	4	1	0	3	0	4	2	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	206	12	38	41	156	62	51	15	17	0	29	81	9	6	38	20	11	1	1	2	17	0	4	1	7	3	1	1	5	2	0	6	1	2	7	8	0	1	0	0	0	2	4	0	0	1	3	1	2	1	1	1	0	0	0	1	3	0	0	2	4	2	1	0	0	1	2	1	1	2	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	2	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
